sample_id,mapped
SRR3049526,99.66
SRR7842652,99.98
SRR5220886,99.98
SRR5220411,98.44
SRR5216378,99.99
SRR6922788,98.04
SRR8131506,98.45
SRR6918558,98.56
SRR7538768,98.08
SRR7480449,99.98
SRR1968048,99.98
SRR1967298,98.19
SRR3049911,98.21
SRR1967482,98.22
SRR1963382,99.98
SRR6919124,98.5
SRR5220942,98.57
SRR6898939,98.23
SRR5220291,99.93
SRR8382433,98.79
SRR5193033,98.48
SRR7408333,98.1
SRR3285459,100.0
SRR1967576,99.5
SRR1969189,98.15
SRR7216050,99.98
SRR7450773,98.07
SRR1968452,98.35
SRR5216381,98.44
SRR7350732,98.51
SRR8738310,99.97
SRR6898921,98.44
SRR5220483,99.99
SRR8862651,98.43
SRR1967550,98.02
SRR6900926,98.46
SRR6897794,98.5
SRR8106744,98.63
SRR1966337,98.28
SRR5220908,98.35
SRR8118207,98.64
SRR7223237,98.12
SRR7458157,99.99
SRR6919805,98.74
SRR6898105,99.94
SRR8272584,99.96
SRR5216195,99.99
SRR6898966,98.47
SRR7879494,98.61
SRR7873996,99.99
SRR1958309,98.55
SRR5194016,99.93
SRR6922720,99.97
SRR3322381,98.81
SRR1959434,99.99
SRR1968938,98.6
SRR1967092,98.42
SRR8087245,98.57
SRR6922708,98.31
SRR5215517,98.5
SRR6919509,99.51
SRR8149428,99.91
SRR6899397,98.03
SRR1967673,98.57
SRR1965481,98.52
SRR1968511,98.09
SRR8839536,98.09
SRR1969338,98.22
SRR7523062,99.95
SRR6919175,98.4
SRR3284817,99.8
SRR5194197,98.51
SRR7471128,98.34
SRR1958150,99.99
SRR8704851,99.19
SRR7359025,98.57
SRR6924157,98.44
SRR1958397,98.46
SRR8492399,99.85
SRR7426962,99.96
SRR1968978,98.26
SRR1965284,99.99
SRR7885295,98.45
SRR6897035,99.97
SRR8856743,98.41
SRR1969366,99.94
SRR1958152,98.64
SRR6899255,98.48
SRR1968024,98.32
SRR8936148,98.49
SRR6901159,99.95
SRR8292202,98.62
SRR8239897,99.95
SRR3048690,98.02
SRR1967458,98.49
SRR8524742,98.61
SRR1969533,98.24
SRR7850710,98.24
SRR8204766,98.24
SRR8706002,99.11
SRR5194108,98.43
SRR1969754,98.01
SRR7456858,99.95
SRR8509154,98.54
SRR8585054,99.91
SRR5220197,99.98
SRR7351540,98.3
SRR7866795,99.98
SRR6896814,99.95
SRR5193828,99.88
SRR7480281,98.49
SRR7962074,99.99
SRR8297273,98.06
SRR1966995,98.46
SRR8492483,98.52
SRR1968135,98.55
SRR5584716,98.52
SRR1960134,98.63
SRR6922507,98.5
SRR7285781,99.97
SRR7456817,98.02
SRR5194283,98.46
SRR6919985,98.44
SRR8551768,98.59
SRR6920137,98.52
SRR1965671,98.09
SRR5194053,98.29
SRR5220184,98.45
SRR1965529,98.45
SRR1969133,98.07
SRR5220657,98.17
SRR3285441,99.92
SRR8738279,99.95
SRR8711835,99.98
SRR3049437,99.99
SRR6898889,99.97
SRR1958511,98.51
SRR1967831,99.91
SRR7842415,99.99
SRR1969353,98.5
SRR5216600,99.92
SRR1966919,98.15
SRR5215620,98.45
SRR1966031,98.16
SRR1970148,98.24
SRR5216399,99.95
SRR5633142,98.15
SRR7873973,98.45
SRR8758307,99.83
SRR8098364,99.94
SRR6900938,99.96
SRR8293769,98.43
SRR3049307,98.12
SRR6899443,98.2
